Gene Name	Mean of Geneid Strains	Standard Deviation of Geneid Strains	Group
Y24D9A.6	0.3333	0.4714	1
str-185	0.3333	0.4714	1
R11D1.2	0.3333	0.4714	1
C35B1.9	0.3333	0.4714	1
C05D12.7	0.3333	0.4714	1
B0207.10	0.3333	0.4714	1
glct-2	0.3333	0.4714	1
cpr-2	0.3333	0.4714	1
C14C6.13	0.3333	0.4714	1
CC8.3	0.3333	0.4714	1
T06G6.6	0.3333	0.4714	1
grl-23	0.3333	0.4714	1
spp-11	0.3333	0.4714	1
cal-3	0.3333	0.4714	1
F56D6.6	0.3333	0.4714	1
srx-74	0.3333	0.4714	1
F39G3.4	0.3333	0.4714	1
srx-9	0.3333	0.4714	1
T16A1.4	0.3333	0.4714	1
srj-32	0.3333	0.4714	1
srg-2	0.3333	0.4714	1
gcy-17	0.3333	0.4714	1
srxa-5	0.3333	0.4714	1
C04C3.7	0.3333	0.4714	1
F58E2.5	0.3333	0.4714	1
srz-4	0.3333	0.4714	1
C25F6.6	0.3333	0.4714	1
T01G6.10	0.3333	0.4714	1
srd-39	0.3333	0.4714	1
irld-2	0.3333	0.4714	1
K03A11.4	0.3333	0.4714	1
srw-145	0.3333	0.4714	1
srh-24	0.3333	0.4714	1
sru-47	0.3333	0.4714	1
T13A10.64	0.3333	0.4714	1
srv-32	0.3333	0.4714	1
C54D10.5	0.3333	0.4714	1
srj-4	0.3333	0.4714	1
K06H6.4	0.3333	0.4714	1
R01H2.8	0.3333	0.4714	1
F28F5.4	0.3333	0.4714	1
srd-8	0.3333	0.4714	1
W04G5.7	0.3333	0.4714	1
T09E8.4	0.3333	0.4714	1
C50B6.1	0.3333	0.4714	1
H25P06.5	0.3333	0.4714	1
C01B10.7	0.3333	0.4714	1
F21D9.8	0.3333	0.4714	1
fbxa-102	0.3333	0.4714	1
F49E12.7	0.3333	0.4714	1
dpy-20	0.3333	0.4714	1
K01A6.8	0.3333	0.4714	1
B0336.12	0.3333	0.4714	1
Y53F4B.26	0.3333	0.4714	1
F37A4.6	0.3333	0.4714	1
srw-77	0.3333	0.4714	1
abf-5	0.3333	0.4714	1
C54F6.6	0.3333	0.4714	1
C54F6.17	0.3333	0.4714	1
srr-10	0.3333	0.4714	1
clec-212	0.3333	0.4714	1
clec-214	0.3333	0.4714	1
srh-200	0.3333	0.4714	1
srh-136	0.3333	0.4714	1
srw-51	0.3333	0.4714	1
clec-243	0.3333	0.4714	1
M04C9.2	0.3333	0.4714	1
srz-100	0.3333	0.4714	1
clec-29	0.3333	0.4714	1
clec-40	0.3333	0.4714	1
Y43F8B.15	0.3333	0.4714	1
F13A2.3	0.3333	0.4714	1
C12D5.4	0.3333	0.4714	1
C02B4.3	0.3333	0.4714	1
acs-25	0.3333	0.4714	1
math-8	0.3333	0.4714	1
math-31	0.3333	0.4714	1
str-14	0.3333	0.4714	1
sru-44	0.3333	0.4714	1
R03G8.1	0.3333	0.4714	1
F40E3.3	0.3333	0.4714	1
srh-22	0.3333	0.4714	1
lmd-4	0.3333	0.4714	1
C03G6.6	0.3333	0.4714	1
ins-32	0.3333	0.4714	1
F54D10.8	0.3333	0.4714	1
W01D2.6	0.3333	0.4714	1
F21H7.12	0.3333	0.4714	1
F57G8.7	0.3333	0.4714	1
W07A12.4	0.3333	0.4714	1
twk-4	0.3333	0.4714	1
T05A1.5	0.3333	0.4714	1
nhr-264	0.3333	0.4714	1
F49C12.2	0.3333	0.4714	1
F49C12.3	0.3333	0.4714	1
W08E12.9	0.3333	0.4714	1
F42A6.2	0.3333	0.4714	1
clec-224	0.3333	0.4714	1
R02F11.9	0.3333	0.4714	1
nhr-166	0.3333	0.4714	1
otpl-8	0.3333	0.4714	1
parg-2	0.3333	0.4714	1
F20C5.7	0.3333	0.4714	1
F27E5.8	0.3333	0.4714	1
F46A8.4	0.3333	0.4714	1
F36D1.12	0.3333	0.4714	1
ttr-21	0.3333	0.4714	1
srbc-58	0.3333	0.4714	1
srh-246	0.3333	0.4714	1
srj-52	0.3333	0.4714	1
C29F5.8	0.3333	0.4714	1
T05B4.13	0.3333	0.4714	1
srlf-29	0.3333	0.4714	1
ZK105.6	0.3333	0.4714	1
ZK105.8	0.3333	0.4714	1
Y57G11C.28	0.3333	0.4714	1
Y37F4.8	0.3333	0.4714	1
F53B1.3	0.3333	0.4714	1
lov-1	0.3333	0.4714	1
H25K10.2	0.3333	0.4714	1
srh-92	0.3333	0.4714	1
srh-229	0.3333	0.4714	1
ZC262.11	0.3333	0.4714	1
Y39G8B.10	0.3333	0.4714	1
Y39G8B.7	0.3333	0.4714	1
Y62H9A.11	0.3333	0.4714	1
F54F2.6	0.3333	0.4714	1
nep-25	0.3333	0.4714	1
Y67D8B.1	0.3333	0.4714	1
pals-3	0.3333	0.4714	1
pals-5	0.3333	0.4714	1
C03B1.2	0.3333	0.4714	1
str-134	0.3333	0.4714	1
str-20	0.3333	0.4714	1
Y105C5B.1418	0.3333	0.4714	1
srxa-4	0.3333	0.4714	1
F38B7.11	0.3333	0.4714	1
srx-84	0.3333	0.4714	1
F48C1.11	0.3333	0.4714	1
C27A7.9	0.3333	0.4714	1
clec-110	0.3333	0.4714	1
F28B12.6	0.3333	0.4714	1
srh-1	0.3333	0.4714	1
T12A7.10	0.3333	0.4714	1
fbxa-131	0.3333	0.4714	1
srt-45	0.3333	0.4714	1
tmem-138	0.3333	0.4714	1
M110.8	0.3333	0.4714	1
K06H7.1	0.3333	0.4714	1
ZK105.12	0.3333	0.4714	1
irld-9	0.3333	0.4714	1
srd-63	0.3333	0.4714	1
Y113G7B.28	0.3333	0.4714	1
srh-172	0.3333	0.4714	1
ZK285.2	0.3333	0.4714	1
str-198	0.3333	0.4714	1
F14H3.14	0.3333	0.4714	1
T05B4.8	0.3333	0.4714	1
dgk-3	0.3333	0.4714	1
str-90	0.3333	0.4714	1
cyp-35A4	0.3333	0.4714	1
srh-211	0.3333	0.4714	1
C25G4.17	0.3333	0.4714	1
str-111	0.3333	0.4714	1
oac-42	0.3333	0.4714	1
F35E8.13	0.3333	0.4714	1
sri-2	0.3333	0.4714	1
ZK994.6	0.3333	0.4714	1
srh-41	0.3333	0.4714	1
twk-44	0.3333	0.4714	1
F42E11.3	0.3333	0.4714	1
C34F6.12	0.3333	0.4714	1
F38B2.2	0.3333	0.4714	1
W07G1.1	0.3333	0.4714	1
W07G1.7	0.3333	0.4714	1
clec-217	0.3333	0.4714	1
F26D11.2	0.3333	0.4714	1
F54F7.10	0.3333	0.4714	1
Y62H9A.1	0.3333	0.4714	1
nhr-159	0.3333	0.4714	1
dach-1	0.3333	0.4714	1
T26G10.8	0.3333	0.4714	1
F40C5.1	0.3333	0.4714	1
gnrr-6	0.3333	0.4714	1
C09F12.3	0.3333	0.4714	1
W04G3.12	0.3333	0.4714	1
srx-62	0.3333	0.4714	1
sra-36	0.3333	0.4714	1
sra-34	0.3333	0.4714	1
B0507.5	0.3333	0.4714	1
B0507.9	0.3333	0.4714	1
srx-50	0.3333	0.4714	1
F38A1.6	0.3333	0.4714	1
srh-46	0.3333	0.4714	1
str-141	0.3333	0.4714	1
T02E9.6	0.3333	0.4714	1
nas-17	0.3333	0.4714	1
R07C3.3	0.3333	0.4714	1
fip-4	0.3333	0.4714	1
fbxb-58	0.3333	0.4714	1
degl-1	0.3333	0.4714	1
AH10.4	0.3333	0.4714	1
F07G6.2	0.3333	0.4714	1
fbxa-41	0.3333	0.4714	1
D1005.6	0.3333	0.4714	1
K03D3.2	0.3333	0.4714	1
irld-59	0.3333	0.4714	1
srt-30	0.3333	0.4714	1
C01B7.7	0.3333	0.4714	1
srw-99	0.3333	0.4714	1
T22G5.1	0.3333	0.4714	1
spp-12	0.3333	0.4714	1
Y105C5A.26	0.3333	0.4714	1
clec-96	0.3333	0.4714	1
F46A8.7	0.3333	0.4714	1
K09C6.9	0.3333	0.4714	1
grd-15	0.3333	0.4714	1
K03A1.4	0.3333	0.4714	1
odr-10	0.3333	0.4714	1
srg-42	0.3333	0.4714	1
M04D8.7	0.3333	0.4714	1
fbxa-154	0.3333	0.4714	1
str-12	0.3333	0.4714	1
glr-3	0.3333	0.4714	1
W05H5.1	0.3333	0.4714	1
Y71A12B.24	0.3333	0.4714	1
ins-28	0.3333	0.4714	1
ins-30	0.3333	0.4714	1
clec-113	0.3333	0.4714	1
F53B7.4	0.3333	0.4714	1
K09C6.10	0.3333	0.4714	1
ins-10	0.3333	0.4714	1
R02D5.6	0.3333	0.4714	1
F43E2.11	0.3333	0.4714	1
sre-3	0.3333	0.4714	1
ptp-8	0.3333	0.4714	1
lipl-8	0.3333	0.4714	1
M199.136	0.3333	0.4714	1
M199.9	0.3333	0.4714	1
F59F5.4	0.3333	0.4714	1
C17B7.8	0.3333	0.4714	1
C04E12.5	0.3333	0.4714	1
T20D4.10	0.3333	0.4714	1
str-228	0.3333	0.4714	1
T22D1.18	0.3333	0.4714	1
srt-62	0.3333	0.4714	1
F49D11.2	0.3333	0.4714	1
R07B1.6	0.3333	0.4714	1
F14F7.5	0.3333	0.4714	1
srh-243	0.3333	0.4714	1
str-46	0.3333	0.4714	1
srw-115	0.3333	0.4714	1
B0222.11	0.3333	0.4714	1
scl-6	0.3333	0.4714	1
scl-8	0.3333	0.4714	1
C25E10.13	0.3333	0.4714	1
Y66D12A.30	0.3333	0.4714	1
F07B7.8	0.3333	0.4714	1
F07B7.13	0.3333	0.4714	1
efhc-1	0.3333	0.4714	1
Y73C8C.10	0.3333	0.4714	1
srab-11	0.3333	0.4714	1
K08D9.6	0.3333	0.4714	1
srxa-10	0.3333	0.4714	1
scl-12	0.3333	0.4714	1
nhr-185	0.3333	0.4714	1
nhr-186	0.3333	0.4714	1
nhr-188	0.3333	0.4714	1
sre-39	0.3333	0.4714	1
oac-40	0.3333	0.4714	1
C25E10.16	0.3333	0.4714	1
str-6	0.3333	0.4714	1
nhr-283	0.3333	0.4714	1
srbc-50	0.3333	0.4714	1
sre-15	0.3333	0.4714	1
rabr-3	0.3333	0.4714	1
glb-26	0.3333	0.4714	1
arrd-3	0.3333	0.4714	1
dct-19	0.3333	0.4714	1
ZK546.19	0.3333	0.4714	1
Y73C8C.4	0.3333	0.4714	1
C07B5.3	0.3333	0.4714	1
Y81B9A.2	0.3333	0.4714	1
Y81B9A.1	0.3333	0.4714	1
Y46G5A.36	0.3333	0.4714	1
srx-46	0.3333	0.4714	1
E02C12.10	0.3333	0.4714	1
sre-27	0.3333	0.4714	1
F46B3.1	0.3333	0.4714	1
nhr-51	0.3333	0.4714	1
srh-219	0.3333	0.4714	1
srt-34	0.3333	0.4714	1
srh-36	0.3333	0.4714	1
srbc-33	0.3333	0.4714	1
srbc-32	0.3333	0.4714	1
sre-56	0.3333	0.4714	1
clec-115	0.3333	0.4714	1
ZK84.4	0.3333	0.4714	1
C07D8.5	0.3333	0.4714	1
Y17G7B.22	0.3333	0.4714	1
W09G12.8	0.3333	0.4714	1
srab-13	0.3333	0.4714	1
Y40B10A.5	0.3333	0.4714	1
srd-58	0.3333	0.4714	1
cyp-13A7	0.3333	0.4714	1
mpst-2	0.3333	0.4714	1
F02D8.1	0.3333	0.4714	1
D2024.18	0.3333	0.4714	1
oac-38	0.3333	0.4714	1
F25H2.3	0.3333	0.4714	1
glb-16	0.3333	0.4714	1
srh-218	0.3333	0.4714	1
irld-25	0.3333	0.4714	1
C26C6.10	0.3333	0.4714	1
fbxa-221	0.3333	0.4714	1
Y73B3A.11	0.3333	0.4714	1
Y73B3B.3	0.3333	0.4714	1
F42A9.11	0.3333	0.4714	1
Y45F10D.2	0.3333	0.4714	1
K09F5.1	0.3333	0.4714	1
C25G6.1	0.3333	0.4714	1
F56C3.1	0.3333	0.4714	1
K02E11.3	0.3333	0.4714	1
K02E11.6	0.3333	0.4714	1
srw-113	0.3333	0.4714	1
T09A5.14	0.3333	0.4714	1
str-264	0.3333	0.4714	1
ZK856.6	0.3333	0.4714	1
srbc-19	0.3333	0.4714	1
srbc-16	0.3333	0.4714	1
C37A5.5	0.3333	0.4714	1
ZK697.14	0.3333	0.4714	1
C45H4.13	0.3333	0.4714	1
Y40B10B.1	0.3333	0.4714	1
abu-4	0.3333	0.4714	1
srg-58	0.3333	0.4714	1
str-188	0.3333	0.4714	1
nhr-247	0.3333	0.4714	1
col-102	0.3333	0.4714	1
fipr-9	0.3333	0.4714	1
C17H11.4	0.3333	0.4714	1
pqn-2	0.3333	0.4714	1
F15H10.8	0.3333	0.4714	1
T10H4.4	0.3333	0.4714	1
F49C5.11	0.3333	0.4714	1
F49C5.12	0.3333	0.4714	1
Y38E10A.1	0.3333	0.4714	1
str-182	0.3333	0.4714	1
col-148	0.3333	0.4714	1
srd-49	0.3333	0.4714	1
srxa-18	0.3333	0.4714	1
col-35	0.3333	0.4714	1
npr-19	0.3333	0.4714	1
srab-14	0.3333	0.4714	1
chil-2	0.3333	0.4714	1
srw-14	0.3333	0.4714	1
srw-12	0.3333	0.4714	1
srbc-76	0.3333	0.4714	1
srsx-37	0.3333	0.4714	1
C50H2.4	0.3333	0.4714	1
T07C12.10	0.3333	0.4714	1
txt-12	0.3333	0.4714	1
Y64G10A.10	0.3333	0.4714	1
F55B11.6	0.3333	0.4714	1
tor-1	0.3333	0.4714	1
C50F7.9	0.3333	0.4714	1
R53.8	0.3333	0.4714	1
T09A12.8	0.3333	0.4714	1
srh-257	0.3333	0.4714	1
srw-33	0.3333	0.4714	1
nmur-2	0.3333	0.4714	1
irld-60	0.3333	0.4714	1
srb-13	0.3333	0.4714	1
srsx-28	0.3333	0.4714	1
srsx-30	0.3333	0.4714	1
W09C2.10	0.3333	0.4714	1
C25F9.2	0.3333	0.4714	1
clec-37	0.3333	0.4714	1
clec-31	0.3333	0.4714	1
clec-32	0.3333	0.4714	1
nhr-241	0.3333	0.4714	1
Y17D7C.1	0.3333	0.4714	1
clec-252	0.3333	0.4714	1
F56C4.2	0.3333	0.4714	1
F13E9.15	0.3333	0.4714	1
C30G4.2	0.3333	0.4714	1
txt-8	0.3333	0.4714	1
B0302.2	0.3333	0.4714	1
M03F8.5	0.3333	0.4714	1
K02F6.5	0.3333	0.4714	1
sri-39	0.3333	0.4714	1
idpp-9	0.3333	0.4714	1
F09F9.5	0.3333	0.4714	1
W07G4.2	0.3333	0.4714	1
str-174	0.3333	0.4714	1
Y51A2A.4	0.3333	0.4714	1
clec-246	0.3333	0.4714	1
C43F9.5	0.3333	0.4714	1
C43F9.7	0.3333	0.4714	1
K08D10.13	0.3333	0.4714	1
oac-43	0.3333	0.4714	1
sra-28	0.3333	0.4714	1
sra-31	0.3333	0.4714	1
F56H6.7	0.3333	0.4714	1
oac-36	0.3333	0.4714	1
glct-1	0.3333	0.4714	1
C52B9.10	0.3333	0.4714	1
nhr-216	0.3333	0.4714	1
srh-28	0.3333	0.4714	1
str-169	0.3333	0.4714	1
M01G12.7	0.3333	0.4714	1
M01G12.2	0.3333	0.4714	1
sri-15	0.3333	0.4714	1
oac-16	0.3333	0.4714	1
ugt-3	0.3333	0.4714	1
ZK470.1	0.3333	0.4714	1
C49C3.21	0.3333	0.4714	1
srh-178	0.3333	0.4714	1
C06H5.14	0.3333	0.4714	1
Y59A8B.24	0.3333	0.4714	1
srd-15	0.3333	0.4714	1
T22C8.1	0.3333	0.4714	1
Y71H2AR.2	0.3333	0.4714	1
fbxa-12	0.3333	0.4714	1
Y22D7AL.16	0.3333	0.4714	1
Y39A3A.2	0.3333	0.4714	1
dos-3	0.3333	0.4714	1
F33C8.2	0.3333	0.4714	1
srn-1	0.3333	0.4714	1
C17F4.11	0.3333	0.4714	1
srg-26	0.3333	0.4714	1
fbxa-9	0.3333	0.4714	1
srh-128	0.3333	0.4714	1
Y7A5A.13	0.6667	0.9428	1
K12H6.8	0.6667	0.9428	1
ZC239.13	0.6667	0.4714	1
srh-297	0.6667	0.9428	1
F38E9.4	0.6667	0.9428	1
ttbk-6	0.6667	0.9428	1
Y51A2A.6	0.6667	0.4714	1
fbxa-71	0.6667	0.9428	1
Y53G8AL.3	0.6667	0.9428	1
srd-66	0.6667	0.9428	1
F31B9.4	0.6667	0.9428	1
lgc-42	0.6667	0.4714	1
srx-117	0.6667	0.9428	1
idpp-3	0.6667	0.9428	1
srsx-18	0.6667	0.9428	1
cutl-7	0.6667	0.9428	1
C44B11.1	0.6667	0.9428	1
nhr-82	0.6667	0.9428	1
oac-28	0.6667	0.4714	1
F41D3.7	0.6667	0.9428	1
Y57E12B.10	0.6667	0.9428	1
srg-31	0.6667	0.9428	1
str-170	0.6667	0.9428	1
str-161	0.6667	0.9428	1
clec-177	0.6667	0.9428	1
glc-3	0.6667	0.9428	1
nspf-2	0.6667	0.9428	1
nspf-3	0.6667	0.9428	1
phat-6	0.6667	0.9428	1
ckb-3	0.6667	0.4714	1
C03C10.7	0.6667	0.4714	1
spp-19	0.6667	0.9428	1
C18H7.12	0.6667	0.9428	1
W09C3.3	0.6667	0.9428	1
sru-39	0.6667	0.9428	1
F35C5.3	0.6667	0.9428	1
K08E3.2	0.6667	0.9428	1
aexr-3	0.6667	0.4714	1
B0563.18	0.6667	0.9428	1
ZK721.4	0.6667	0.4714	1
C33H5.2	0.6667	0.4714	1
tor-2	0.6667	0.9428	1
wrt-7	0.6667	0.9428	1
C01G10.6	0.6667	0.9428	1
ZK899.3	0.6667	0.9428	1
srh-271	0.6667	0.9428	1
W02H5.11	0.6667	0.9428	1
srg-56	0.6667	0.9428	1
srg-62	0.6667	0.9428	1
srlf-9	0.6667	0.9428	1
F28C10.1	0.6667	0.9428	1
srh-258	0.6667	0.9428	1
scl-14	0.6667	0.9428	1
srt-54	0.6667	0.9428	1
K10B4.1	0.6667	0.9428	1
ceph-41	0.6667	0.4714	1
chil-3	0.6667	0.9428	1
tsp-5	0.6667	0.9428	1
Y75B12B.11	0.6667	0.9428	1
lgc-11	0.6667	0.9428	1
F56C3.10	0.6667	0.9428	1
ocam-1	0.6667	0.4714	1
F07B10.4	0.6667	0.9428	1
srx-12	0.6667	0.4714	1
srx-13	0.6667	0.4714	1
Y55F3BL.6	0.6667	0.9428	1
fipr-5	0.6667	0.9428	1
C45H4.18	0.6667	0.9428	1
srj-21	0.6667	0.9428	1
F32D8.2	0.6667	0.9428	1
F49C5.10	0.6667	0.9428	1
F55E10.1	0.6667	0.9428	1
K02A6.4	0.6667	0.9428	1
E02C12.6	0.6667	0.9428	1
C07B5.2	0.6667	0.9428	1
srx-51	0.6667	0.9428	1
C11E4.8	0.6667	0.4714	1
B0416.2	0.6667	0.9428	1
hlh-10	0.6667	0.9428	1
F21A3.2	0.6667	0.9428	1
srh-185	0.6667	0.9428	1
F26F2.2	0.6667	0.9428	1
F26F2.13	0.6667	0.9428	1
F26F2.3	0.6667	0.4714	1
D2096.5	0.6667	0.9428	1
Y38H6C.23	0.6667	0.4714	1
str-57	0.6667	0.9428	1
Y41D4A.1	0.6667	0.9428	1
srab-23	0.6667	0.4714	1
Y105E8A.32	0.6667	0.9428	1
cal-8	0.6667	0.9428	1
F38A1.11	0.6667	0.9428	1
F21H12.3	0.6667	0.9428	1
clpr-1	0.6667	0.4714	1
T03F7.6	0.6667	0.9428	1
R13A1.1	0.6667	0.4714	1
srz-59	0.6667	0.9428	1
T25E4.2	0.6667	0.9428	1
srd-59	0.6667	0.9428	1
C46H3.1	0.6667	0.4714	1
arrd-5	0.6667	0.9428	1
chil-9	0.6667	0.9428	1
C04G6.13	0.6667	0.9428	1
lgc-5	0.6667	0.9428	1
F17E9.16	0.6667	0.9428	1
F17E9.3	0.6667	0.4714	1
sri-7	0.6667	0.9428	1
F21G4.3	0.6667	0.4714	1
srlf-10	0.6667	0.9428	1
srh-146	0.6667	0.4714	1
B0222.15	0.6667	0.9428	1
C32A9.1	0.6667	0.9428	1
K08D9.2	0.6667	0.9428	1
folr-1	0.6667	0.9428	1
T09B9.5	0.6667	0.4714	1
gst-17	0.6667	0.9428	1
Y75B8A.39	0.6667	0.9428	1
str-84	0.6667	0.9428	1
F59B1.4	0.6667	0.4714	1
srx-2	0.6667	0.4714	1
bus-1	0.6667	0.9428	1
nhr-30	0.6667	0.9428	1
K02C4.2	0.6667	0.9428	1
K09C8.8	0.6667	0.9428	1
H10D18.1	0.6667	0.9428	1
sre-19	0.6667	0.9428	1
sre-14	0.6667	0.4714	1
Y38H6C.4	0.6667	0.9428	1
Y38H6C.18	0.6667	0.9428	1
str-9	0.6667	0.4714	1
sra-1	0.6667	0.9428	1
F32D8.8	0.6667	0.9428	1
C55B6.5	0.6667	0.9428	1
W03G9.9	0.6667	0.9428	1
T27E7.3	0.6667	0.9428	1
nspa-10	0.6667	0.9428	1
F49D11.11	0.6667	0.9428	1
T08G5.7	0.6667	0.9428	1
F14D7.18	0.6667	0.9428	1
T20D4.15	0.6667	0.9428	1
C27D9.2	0.6667	0.9428	1
C05B5.16	0.6667	0.9428	1
xbx-3	0.6667	0.4714	1
clec-136	0.6667	0.9428	1
ZC190.5	0.6667	0.9428	1
ZC196.8	0.6667	0.9428	1
ZC196.9	0.6667	0.4714	1
F47B10.4	0.6667	0.9428	1
pals-33	0.6667	0.4714	1
C40H1.9	0.6667	0.9428	1
Y47G6A.30	0.6667	0.9428	1
F46F5.10	0.6667	0.4714	1
C32B5.13	0.6667	0.9428	1
otpl-5	0.6667	0.9428	1
scl-13	0.6667	0.9428	1
W02H3.3	0.6667	0.9428	1
nas-18	0.6667	0.9428	1
C14E2.3	0.6667	0.9428	1
B0294.3	0.6667	0.9428	1
rac-2	0.6667	0.9428	1
srz-74	0.6667	0.9428	1
R09H3.2	0.6667	0.9428	1
C36C9.6	0.6667	0.4714	1
C35E7.7	0.6667	0.9428	1
str-222	0.6667	0.9428	1
AH9.4	0.6667	0.9428	1
Y105C5A.9	0.6667	0.9428	1
Y52B11B.1	0.6667	0.9428	1
fbxa-142	0.6667	0.4714	1
srw-7	0.6667	0.9428	1
F20D6.2	0.6667	0.9428	1
str-73	0.6667	0.9428	1
ZC15.5	0.6667	0.9428	1
Y113G7A.16	0.6667	0.9428	1
F35E8.2	0.6667	0.4714	1
delm-1	0.6667	0.9428	1
F23B2.10	0.6667	0.9428	1
acc-2	0.6667	0.4714	1
Y73F4A.3	0.6667	0.4714	1
str-99	0.6667	0.9428	1
lips-13	0.6667	0.9428	1
ace-4	0.6667	0.9428	1
Y45G5AM.4	0.6667	0.9428	1
F54D12.2	0.6667	0.9428	1
T26G10.4	0.6667	0.9428	1
T24A6.7	0.6667	0.9428	1
ZK353.10	0.6667	0.9428	1
Y51H7BR.4	0.6667	0.4714	1
Y60C6A.1	0.6667	0.9428	1
F02A9.7	0.6667	0.4714	1
Y62H9A.8	0.6667	0.9428	1
C17D12.3	0.6667	0.9428	1
Y51H4A.938	0.6667	0.4714	1
Y105C5B.25	0.6667	0.9428	1
Y40H7A.3	0.6667	0.4714	1
F17B5.10	0.6667	0.9428	1
oac-17	0.6667	0.9428	1
srj-25	0.6667	0.9428	1
H41C03.2	0.6667	0.9428	1
R05C11.2	0.6667	0.9428	1
C23H5.11	0.6667	0.4714	1
str-240	0.6667	0.9428	1
K02H11.4	0.6667	0.4714	1
srg-38	0.6667	0.4714	1
F16B3.2	0.6667	0.9428	1
F38B6.7	0.6667	0.9428	1
K10C2.6	0.6667	0.9428	1
T05C12.11	0.6667	0.4714	1
F25E5.9	0.6667	0.9428	1
Y51B9A.8	0.6667	0.9428	1
dmd-3	0.6667	0.9428	1
W04E12.3	0.6667	0.4714	1
F10B5.3	0.6667	0.4714	1
srxa-7	0.6667	0.9428	1
col-78	0.6667	0.9428	1
oac-15	0.6667	0.9428	1
oac-5	0.6667	0.9428	1
ceh-54	0.6667	0.9428	1
col-37	0.6667	0.4714	1
ttr-22	0.6667	0.9428	1
mks-2	0.6667	0.4714	1
